Provider,Label,IP_NumClaims,IP_NumUniqueBeneficiaries,IP_NumUniqueAttPhysicians,IP_NumUniqueOpPhysicians,IP_NumUniqueOthPhysicians,IP_TotalClaimAmt,IP_AvgClaimAmt,IP_MaxClaimAmt,IP_StdClaimAmt,IP_TotalDeductible,IP_AvgDeductible,IP_AvgStayDuration,IP_MaxStayDuration,IP_TotalStayDays,IP_AvgClaimDuration,IP_AvgDiagnosisCodes,IP_AvgProcedureCodes,IP_AvgPatientAge,IP_PctDeadPatients,IP_AvgChronicConditions,IP_PctRenalDisease,IP_AvgGender,IP_AvgIPAnnualReimb,IP_AvgOPAnnualReimb,OP_NumClaims,OP_NumUniqueBeneficiaries,OP_NumUniqueAttPhysicians,OP_TotalClaimAmt,OP_AvgClaimAmt,OP_MaxClaimAmt,OP_StdClaimAmt,OP_TotalDeductible,OP_AvgClaimDuration,OP_AvgDiagnosisCodes,OP_AvgPatientAge,OP_PctDeadPatients,OP_AvgChronicConditions,IP_OP_ClaimRatio,IP_ClaimsPerPatient,OP_ClaimsPerPatient,IP_PatientsPerPhysician,OP_PatientsPerPhysician,IP_ClaimAmtPerStayDay,Total_ClaimAmt,Total_Deductible,Total_UniqueBeneficiaries,DiagComplexityRatio
PRV51001,0,5.0,5.0,4.0,2.0,1.0,97000.0,19400.0,42000.0,18352.11159512714,5340.0,1068.0,5.0,14.0,25.0,5.0,7.2,0.6,78.48377823408624,0.0,6.0,0.4,0.4,77902.0,1350.0,20.0,19.0,10.0,7640.0,382.0,1500.0,422.817616522899,0.0,0.55,2.2,78.82190280629706,0.0,5.45,0.23809523809523808,0.8333333333333334,1.0,1.0,1.7272727272727273,3730.769230769231,104640.0,5340.0,24.0,2.25
PRV51003,1,62.0,53.0,2.0,2.0,0.0,573000.0,9241.935483870968,57000.0,8513.606243799273,66216.0,1068.0,5.161290322580645,27.0,320.0,5.161290322580645,8.112903225806452,0.7741935483870968,70.80929986089951,0.016129032258064516,4.919354838709677,0.27419354838709675,0.3387096774193548,12696.612903225807,2217.7419354838707,70.0,66.0,44.0,32670.0,466.7142857142857,3300.0,821.3645793779573,70.0,2.357142857142857,2.7142857142857144,69.28154884130244,0.0,4.214285714285714,0.8732394366197183,1.1481481481481481,1.044776119402985,17.666666666666668,1.4666666666666666,1785.0467289719627,605670.0,66286.0,119.0,2.18424317617866
PRV51004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,138.0,38.0,52170.0,350.13422818791946,3300.0,689.9637540197714,310.0,1.429530201342282,2.5838926174496644,72.18108402353816,0.006711409395973154,4.342281879194631,0.0,0.0,1.0719424460431655,0.0,3.5384615384615383,0.0,52170.0,310.0,138.0,0.0
PRV51005,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1165.0,495.0,6.0,280910.0,241.1244635193133,4080.0,491.556391867259,3700.0,1.088412017167382,2.5888412017167384,70.46128555607453,0.0034334763948497852,4.335622317596567,0.0,0.0,2.348790322580645,0.0,70.71428571428571,0.0,280910.0,3700.0,495.0,0.0
PRV51007,0,3.0,3.0,2.0,1.0,0.0,19000.0,6333.333333333333,10000.0,3511.884584284246,3204.0,1068.0,5.333333333333333,7.0,16.0,5.333333333333333,7.333333333333333,0.3333333333333333,78.75062742413873,0.0,5.666666666666667,0.3333333333333333,0.3333333333333333,11710.0,2413.3333333333335,69.0,56.0,8.0,14710.0,213.18840579710144,3300.0,447.2316571506486,60.0,0.7681159420289855,2.7971014492753623,68.82202977908719,0.014492753623188406,4.101449275362318,0.04285714285714286,0.75,1.2105263157894737,1.0,6.222222222222222,1117.6470588235295,33710.0,3264.0,59.0,1.9312977099236641
PRV51008,0,2.0,2.0,2.0,2.0,0.0,25000.0,12500.0,21000.0,12020.815280171308,2136.0,1068.0,4.0,5.0,8.0,4.0,7.5,1.0,51.54277891854894,0.0,3.5,0.0,0.5,18750.0,320.0,41.0,34.0,8.0,10630.0,259.2682926829268,1900.0,404.0383041488916,180.0,1.4146341463414633,2.951219512195122,76.73000450743727,0.0,3.926829268292683,0.047619047619047616,0.6666666666666666,1.1714285714285715,0.6666666666666666,3.7777777777777777,2777.777777777778,35630.0,2316.0,36.0,1.8981481481481481
PRV51011,0,1.0,1.0,1.0,0.0,0.0,5000.0,5000.0,5000.0,0.0,1068.0,1068.0,5.0,5.0,5.0,5.0,8.0,0.0,97.75222450376455,0.0,7.0,1.0,0.0,5000.0,590.0,57.0,52.0,27.0,11630.0,204.03508771929825,1600.0,310.7873621322992,300.0,0.47368421052631576,2.43859649122807,73.89829124488153,0.017543859649122806,4.543859649122807,0.017241379310344827,0.5,1.0754716981132075,0.5,1.8571428571428572,833.3333333333334,16630.0,1368.0,53.0,2.326530612244898
PRV51012,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,31.0,14.0,16890.0,351.875,3300.0,707.8936578689371,100.0,3.7083333333333335,2.5625,74.46954140999316,0.0,4.625,0.0,0.0,1.5,0.0,2.066666666666667,0.0,16890.0,100.0,31.0,0.0
PRV51013,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,44.0,9.0,14880.0,323.4782608695652,1800.0,471.622341339171,230.0,1.4565217391304348,2.5434782608695654,74.3936553283933,0.0,4.413043478260869,0.0,0.0,1.0222222222222221,0.0,4.4,0.0,14880.0,230.0,44.0,0.0
PRV51014,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,25.0,7.0,10480.0,349.3333333333333,3300.0,822.984196996362,120.0,0.4666666666666667,3.6666666666666665,71.12288386949578,0.03333333333333333,4.333333333333333,0.0,0.0,1.1538461538461537,0.0,3.125,0.0,10480.0,120.0,25.0,0.0
PRV51015,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,7.0,3.0,700.0,87.5,200.0,74.01737247816507,0.0,0.375,3.125,72.04277891854895,0.0,6.375,0.0,0.0,1.0,0.0,1.75,0.0,700.0,0.0,7.0,0.0
PRV51016,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,3.0,170.0,28.333333333333332,90.0,37.638632635454044,0.0,0.3333333333333333,3.5,70.75062742413871,0.0,5.5,0.0,0.0,0.8571428571428571,0.0,1.5,0.0,170.0,0.0,6.0,0.0
PRV51017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,515.0,420.0,113.0,142720.0,277.126213592233,3300.0,570.1818038894332,1050.0,1.3572815533980582,2.704854368932039,72.6050650239562,0.009708737864077669,4.36504854368932,0.0,0.0,1.2232779097387174,0.0,3.6842105263157894,0.0,142720.0,1050.0,420.0,0.0
